target,new_brand,cleaned_tweet,tokenized_tweet,cleaned_tweet_str
1.0,apple,nice hey apple fans get peek space thats slated popup apple store tomorrow,"['nice', 'hey', 'apple', 'fan', 'get', 'peek', 'space', 'thats', 'slated', 'popup', 'apple', 'store', 'tomorrow']",n i c e   h e y   a p p l e   f a n s   g e t   p e e k   s p a c e   t h a t s   s l a t e d   p o p u p   a p p l e   s t o r e   t o m o r r o w
1.0,apple,thanks mention new ipad apps showcased conf,"['thanks', 'mention', 'new', 'ipad', 'apps', 'showcased', 'conf']",t h a n k s   m e n t i o n   n e w   i p a d   a p p s   s h o w c a s e d   c o n f
-1.0,apple,provide iphone chargers ive changed mind going next year,"['provide', 'iphone', 'charger', 'ive', 'changed', 'mind', 'going', 'next', 'year']",p r o v i d e   i p h o n e   c h a r g e r s   i v e   c h a n g e d   m i n d   g o i n g   n e x t   y e a r
1.0,apple,xmas shiny new apps new book popup ipad stores christmas nerds,"['xmas', 'shiny', 'new', 'apps', 'new', 'book', 'popup', 'ipad', 'store', 'christmas', 'nerd']",x m a s   s h i n y   n e w   a p p s   n e w   b o o k   p o p u p   i p a d   s t o r e s   c h r i s t m a s   n e r d s
1.0,apple,yai new app store includes uberguide sponsored cont,"['yai', 'new', 'app', 'store', 'includes', 'uberguide', 'sponsored', 'cont']",y a i   n e w   a p p   s t o r e   i n c l u d e s   u b e r g u i d e   s p o n s o r e d   c o n t
1.0,apple,headline quot musthave gadget quot hmm could seen one coming,"['headline', 'quot', 'musthave', 'gadget', 'quot', 'hmm', 'could', 'seen', 'one', 'coming']",h e a d l i n e   q u o t   m u s t h a v e   g a d g e t   q u o t   h m m   c o u l d   s e e n   o n e   c o m i n g
-1.0,apple,know quotdatavizquot translates quotsatanicquot iphone im sayin,"['know', 'quotdatavizquot', 'translates', 'quotsatanicquot', 'iphone', 'im', 'sayin']",k n o w   q u o t d a t a v i z q u o t   t r a n s l a t e s   q u o t s a t a n i c q u o t   i p h o n e   i m   s a y i n
1.0,apple,kawasaki quotnot cs lewis level reasoning apples continued existence evidence existence godquot,"['kawasaki', 'quotnot', 'c', 'lewis', 'level', 'reasoning', 'apple', 'continued', 'existence', 'evidence', 'existence', 'godquot']",k a w a s a k i   q u o t n o t   c s   l e w i s   l e v e l   r e a s o n i n g   a p p l e s   c o n t i n u e d   e x i s t e n c e   e v i d e n c e   e x i s t e n c e   g o d q u o t
1.0,apple,kawasaki quotpagemaker saved applequot oh days via,"['kawasaki', 'quotpagemaker', 'saved', 'applequot', 'oh', 'day', 'via']",k a w a s a k i   q u o t p a g e m a k e r   s a v e d   a p p l e q u o t   o h   d a y s   v i a
1.0,apple,ipad great thoughts w japan apac regions dealing w eahquake amp tsunami trauma,"['ipad', 'great', 'thought', 'w', 'japan', 'apac', 'region', 'dealing', 'w', 'eahquake', 'amp', 'tsunami', 'trauma']",i p a d   g r e a t   t h o u g h t s   w   j a p a n   a p a c   r e g i o n s   d e a l i n g   w   e a h q u a k e   a m p   t s u n a m i   t r a u m a
1.0,apple,schools marketing expes,"['school', 'marketing', 'expes']",s c h o o l s   m a r k e t i n g   e x p e s
1.0,apple,temporary store def tent powerhouse gym,"['temporary', 'store', 'def', 'tent', 'powerhouse', 'gym']",t e m p o r a r y   s t o r e   d e f   t e n t   p o w e r h o u s e   g y m
1.0,apple,temporary store 6th congress along happy hipsters,"['temporary', 'store', '6th', 'congress', 'along', 'happy', 'hipster']",t e m p o r a r y   s t o r e   6 t h   c o n g r e s s   a l o n g   h a p p y   h i p s t e r s
1.0,apple,ui wins opening temporary store downtown suppo launch good,"['ui', 'win', 'opening', 'temporary', 'store', 'downtown', 'suppo', 'launch', 'good']",u i   w i n s   o p e n i n g   t e m p o r a r y   s t o r e   d o w n t o w n   s u p p o   l a u n c h   g o o d
1.0,apple,trending today fun nerdy nerds,"['trending', 'today', 'fun', 'nerdy', 'nerd']",t r e n d i n g   t o d a y   f u n   n e r d y   n e r d s
-1.0,apple,funny trending matter minutes point least according twitter iphone,"['funny', 'trending', 'matter', 'minute', 'point', 'least', 'according', 'twitter', 'iphone']",f u n n y   t r e n d i n g   m a t t e r   m i n u t e s   p o i n t   l e a s t   a c c o r d i n g   t w i t t e r   i p h o n e
1.0,apple,christian devs want talk u maybe wk together cool app,"['christian', 'devs', 'want', 'talk', 'u', 'maybe', 'wk', 'together', 'cool', 'app']",c h r i s t i a n   d e v s   w a n t   t a l k   u   m a y b e   w k   t o g e t h e r   c o o l   a p p
1.0,apple,apple taken storm excited pa,"['apple', 'taken', 'storm', 'excited', 'pa']",a p p l e   t a k e n   s t o r m   e x c i t e d   p a
1.0,apple,haz ifrom gr8,"['haz', 'ifrom', 'gr8']",h a z   i f r o m   g r 8
1.0,apple,stacks waiting bought got mine hassle apple handled perfectly,"['stack', 'waiting', 'bought', 'got', 'mine', 'hassle', 'apple', 'handled', 'perfectly']",s t a c k s   w a i t i n g   b o u g h t   g o t   m i n e   h a s s l e   a p p l e   h a n d l e d   p e r f e c t l y
1.0,apple,take major south korean director gets make movie entirely iphone,"['take', 'major', 'south', 'korean', 'director', 'get', 'make', 'movie', 'entirely', 'iphone']",t a k e   m a j o r   s o u t h   k o r e a n   d i r e c t o r   g e t s   m a k e   m o v i e   e n t i r e l y   i p h o n e
1.0,apple,beautiful apple store pic,"['beautiful', 'apple', 'store', 'pic']",b e a u t i f u l   a p p l e   s t o r e   p i c
1.0,apple,must app lovely review forbes ipad app holler gram,"['must', 'app', 'lovely', 'review', 'forbes', 'ipad', 'app', 'holler', 'gram']",m u s t   a p p   l o v e l y   r e v i e w   f o r b e s   i p a d   a p p   h o l l e r   g r a m
1.0,apple,temporary apple store apple sneaky usual,"['temporary', 'apple', 'store', 'apple', 'sneaky', 'usual']",t e m p o r a r y   a p p l e   s t o r e   a p p l e   s n e a k y   u s u a l
1.0,apple,ui beta testing interactive book ipad app moonbot studios louisiana cool appu,"['ui', 'beta', 'testing', 'interactive', 'book', 'ipad', 'app', 'moonbot', 'studio', 'louisiana', 'cool', 'appu']",u i   b e t a   t e s t i n g   i n t e r a c t i v e   b o o k   i p a d   a p p   m o o n b o t   s t u d i o s   l o u i s i a n a   c o o l   a p p u
1.0,apple,apple day one seeing ton,"['apple', 'day', 'one', 'seeing', 'ton']",a p p l e   d a y   o n e   s e e i n g   t o n
-1.0,apple,giving away two new ipad2 wifi 32g black apple cover tweet fo info tonight bolt house,"['giving', 'away', 'two', 'new', 'ipad', '2', 'wifi', '32g', 'black', 'apple', 'cover', 'tweet', 'fo', 'info', 'tonight', 'bolt', 'house']",g i v i n g   a w a y   t w o   n e w   i p a d 2   w i f i   3 2 g   b l a c k   a p p l e   c o v e r   t w e e t   f o   i n f o   t o n i g h t   b o l t   h o u s e
-1.0,apple,anyone chance check popup apple store wondering woh trek convention center,"['anyone', 'chance', 'check', 'popup', 'apple', 'store', 'wondering', 'woh', 'trek', 'convention', 'center']",a n y o n e   c h a n c e   c h e c k   p o p u p   a p p l e   s t o r e   w o n d e r i n g   w o h   t r e k   c o n v e n t i o n   c e n t e r
1.0,apple,ui ipad store sold everything except 64gig wifi whiteu manage get,"['ui', 'ipad', 'store', 'sold', 'everything', 'except', '64gig', 'wifi', 'whiteu', 'manage', 'get']",u i   i p a d   s t o r e   s o l d   e v e r y t h i n g   e x c e p t   6 4 g i g   w i f i   w h i t e u   m a n a g e   g e t
1.0,apple,ui ipad store sold everything except 64gig wifi whiteu also known white jeans configuration,"['ui', 'ipad', 'store', 'sold', 'everything', 'except', '64gig', 'wifi', 'whiteu', 'also', 'known', 'white', 'jean', 'configuration']",u i   i p a d   s t o r e   s o l d   e v e r y t h i n g   e x c e p t   6 4 g i g   w i f i   w h i t e u   a l s o   k n o w n   w h i t e   j e a n s   c o n f i g u r a t i o n
1.0,apple,offered ipad promo ninjafinder users fans sucks,"['offered', 'ipad', 'promo', 'ninjafinder', 'user', 'fan', 'suck']",o f f e r e d   i p a d   p r o m o   n i n j a f i n d e r   u s e r s   f a n s   s u c k s
1.0,apple,learning lifechanging impact ipad real peoples actual lives bravo,"['learning', 'lifechanging', 'impact', 'ipad', 'real', 'people', 'actual', 'life', 'bravo']",l e a r n i n g   l i f e c h a n g i n g   i m p a c t   i p a d   r e a l   p e o p l e s   a c t u a l   l i v e s   b r a v o
1.0,apple,lonelyplanet guide free limited time,"['lonelyplanet', 'guide', 'free', 'limited', 'time']",l o n e l y p l a n e t   g u i d e   f r e e   l i m i t e d   t i m e
1.0,apple,apple store still ipad sho lines,"['apple', 'store', 'still', 'ipad', 'sho', 'line']",a p p l e   s t o r e   s t i l l   i p a d   s h o   l i n e s
1.0,apple,anyone want make quick hundred dollars new ad hoc apple store gets hundred plus cost,"['anyone', 'want', 'make', 'quick', 'hundred', 'dollar', 'new', 'ad', 'hoc', 'apple', 'store', 'get', 'hundred', 'plus', 'cost']",a n y o n e   w a n t   m a k e   q u i c k   h u n d r e d   d o l l a r s   n e w   a d   h o c   a p p l e   s t o r e   g e t s   h u n d r e d   p l u s   c o s t
-1.0,apple,seriously testing mobile apps constant ipad crashes causing lost schedules sync wp7,"['seriously', 'testing', 'mobile', 'apps', 'constant', 'ipad', 'crash', 'causing', 'lost', 'schedule', 'sync', 'wp7']",s e r i o u s l y   t e s t i n g   m o b i l e   a p p s   c o n s t a n t   i p a d   c r a s h e s   c a u s i n g   l o s t   s c h e d u l e s   s y n c   w p 7
1.0,apple,ready iphone apps make ur blogging easier,"['ready', 'iphone', 'apps', 'make', 'ur', 'blogging', 'easier']",r e a d y   i p h o n e   a p p s   m a k e   u r   b l o g g i n g   e a s i e r
-1.0,apple,ipad2 conflagration doofusness,"['ipad', '2', 'conflagration', 'doofusness']",i p a d 2   c o n f l a g r a t i o n   d o o f u s n e s s
1.0,apple,attention ers rumored popup temporary apple store ipad launch needs,"['attention', 'er', 'rumored', 'popup', 'temporary', 'apple', 'store', 'ipad', 'launch', 'need']",a t t e n t i o n   e r s   r u m o r e d   p o p u p   t e m p o r a r y   a p p l e   s t o r e   i p a d   l a u n c h   n e e d s
1.0,apple,went lousy,"['went', 'lousy']",w e n t   l o u s y
-1.0,apple,attending work iphone ipad game development looking hire austinbased ios developer im man lets talk,"['attending', 'work', 'iphone', 'ipad', 'game', 'development', 'looking', 'hire', 'austinbased', 'io', 'developer', 'im', 'man', 'let', 'talk']",a t t e n d i n g   w o r k   i p h o n e   i p a d   g a m e   d e v e l o p m e n t   l o o k i n g   h i r e   a u s t i n b a s e d   i o s   d e v e l o p e r   i m   m a n   l e t s   t a l k
-1.0,apple,spent come youve already used ipad wait couple city blocks,"['spent', 'come', 'youve', 'already', 'used', 'ipad', 'wait', 'couple', 'city', 'block']",s p e n t   c o m e   y o u v e   a l r e a d y   u s e d   i p a d   w a i t   c o u p l e   c i t y   b l o c k s
1.0,apple,behind 100s emails give line iphone composed replies,"['behind', '100', 'email', 'give', 'line', 'iphone', 'composed', 'reply']",b e h i n d   1 0 0 s   e m a i l s   g i v e   l i n e   i p h o n e   c o m p o s e d   r e p l i e s
1.0,apple,like 10pm night line around block popup apple stores selling ipad2s,"['like', '10pm', 'night', 'line', 'around', 'block', 'popup', 'apple', 'store', 'selling', 'ipad', '2']",l i k e   1 0 p m   n i g h t   l i n e   a r o u n d   b l o c k   p o p u p   a p p l e   s t o r e s   s e l l i n g   i p a d 2 s
-1.0,apple,less hours announce details ipad giveaway,"['le', 'hour', 'announce', 'detail', 'ipad', 'giveaway']",l e s s   h o u r s   a n n o u n c e   d e t a i l s   i p a d   g i v e a w a y
-1.0,apple,im ipad 2s seen wild people say fast still pics terrible,"['im', 'ipad', '2', 'seen', 'wild', 'people', 'say', 'fast', 'still', 'pic', 'terrible']",i m   i p a d   2 s   s e e n   w i l d   p e o p l e   s a y   f a s t   s t i l l   p i c s   t e r r i b l e
1.0,apple,takes video,"['take', 'video']",t a k e s   v i d e o
1.0,apple,many ipad snapping away keynote slides,"['many', 'ipad', 'snapping', 'away', 'keynote', 'slide']",m a n y   i p a d   s n a p p i n g   a w a y   k e y n o t e   s l i d e s
1.0,apple,new post iphone apps well using south southwest interactive,"['new', 'post', 'iphone', 'apps', 'well', 'using', 'south', 'southwest', 'interactive']",n e w   p o s t   i p h o n e   a p p s   w e l l   u s i n g   s o u t h   s o u t h w e s t   i n t e r a c t i v e
1.0,apple,day store theres still lineand growing,"['day', 'store', 'there', 'still', 'lineand', 'growing']",d a y   s t o r e   t h e r e s   s t i l l   l i n e a n d   g r o w i n g
1.0,apple,u iphone dont need caruse zimride etc share rides,"['u', 'iphone', 'dont', 'need', 'caruse', 'zimride', 'etc', 'share', 'ride']",u   i p h o n e   d o n t   n e e d   c a r u s e   z i m r i d e   e t c   s h a r e   r i d e s
-1.0,apple,ive seen lot tablets every single one ipad,"['ive', 'seen', 'lot', 'tablet', 'every', 'single', 'one', 'ipad']",i v e   s e e n   l o t   t a b l e t s   e v e r y   s i n g l e   o n e   i p a d
1.0,apple,picked mophie battery case iphone prep lugging around laptop amp using phone huge win last year,"['picked', 'mophie', 'battery', 'case', 'iphone', 'prep', 'lugging', 'around', 'laptop', 'amp', 'using', 'phone', 'huge', 'win', 'last', 'year']",p i c k e d   m o p h i e   b a t t e r y   c a s e   i p h o n e   p r e p   l u g g i n g   a r o u n d   l a p t o p   a m p   u s i n g   p h o n e   h u g e   w i n   l a s t   y e a r
-1.0,apple,hobo shotgun iphone game,"['hobo', 'shotgun', 'iphone', 'game']",h o b o   s h o t g u n   i p h o n e   g a m e
1.0,apple,hobo shotgun video game coming ipadiphone users yes please,"['hobo', 'shotgun', 'video', 'game', 'coming', 'ipadiphone', 'user', 'yes', 'please']",h o b o   s h o t g u n   v i d e o   g a m e   c o m i n g   i p a d i p h o n e   u s e r s   y e s   p l e a s e
1.0,apple,build store less hours one biggest launches companys history got,"['build', 'store', 'le', 'hour', 'one', 'biggest', 'launch', 'company', 'history', 'got']",b u i l d   s t o r e   l e s s   h o u r s   o n e   b i g g e s t   l a u n c h e s   c o m p a n y s   h i s t o r y   g o t
-1.0,apple,paraormal activity sanctuary iphone game sketching ar experience interactivity quotmagic lensequot,"['paraormal', 'activity', 'sanctuary', 'iphone', 'game', 'sketching', 'ar', 'experience', 'interactivity', 'quotmagic', 'lensequot']",p a r a o r m a l   a c t i v i t y   s a n c t u a r y   i p h o n e   g a m e   s k e t c h i n g   a r   e x p e r i e n c e   i n t e r a c t i v i t y   q u o t m a g i c   l e n s e q u o t
-1.0,apple,iphone alarms botch timechange many ers freak late flights missed panels behind bloody marys,"['iphone', 'alarm', 'botch', 'timechange', 'many', 'er', 'freak', 'late', 'flight', 'missed', 'panel', 'behind', 'bloody', 'mary']",i p h o n e   a l a r m s   b o t c h   t i m e c h a n g e   m a n y   e r s   f r e a k   l a t e   f l i g h t s   m i s s e d   p a n e l s   b e h i n d   b l o o d y   m a r y s
1.0,apple,shouts ladies holding ipad free shows take photos sipping free beer cc,"['shout', 'lady', 'holding', 'ipad', 'free', 'show', 'take', 'photo', 'sipping', 'free', 'beer', 'cc']",s h o u t s   l a d i e s   h o l d i n g   i p a d   f r e e   s h o w s   t a k e   p h o t o s   s i p p i n g   f r e e   b e e r   c c
-1.0,apple,meant also wish stupid iphone,"['meant', 'also', 'wish', 'stupid', 'iphone']",m e a n t   a l s o   w i s h   s t u p i d   i p h o n e
1.0,apple,rumors apple store opening 6th amp congress signs point yes,"['rumor', 'apple', 'store', 'opening', '6th', 'amp', 'congress', 'sign', 'point', 'yes']",r u m o r s   a p p l e   s t o r e   o p e n i n g   6 t h   a m p   c o n g r e s s   s i g n s   p o i n t   y e s
1.0,apple,picked ipad pop apple store minute wait,"['picked', 'ipad', 'pop', 'apple', 'store', 'minute', 'wait']",p i c k e d   i p a d   p o p   a p p l e   s t o r e   m i n u t e   w a i t
1.0,apple,marketing sales genius,"['marketing', 'sale', 'genius']",m a r k e t i n g   s a l e s   g e n i u s
1.0,apple,need ipad iphone laptop dictaphone vidcamera wow love meet real cerebellum charged people,"['need', 'ipad', 'iphone', 'laptop', 'dictaphone', 'vidcamera', 'wow', 'love', 'meet', 'real', 'cerebellum', 'charged', 'people']",n e e d   i p a d   i p h o n e   l a p t o p   d i c t a p h o n e   v i d c a m e r a   w o w   l o v e   m e e t   r e a l   c e r e b e l l u m   c h a r g e d   p e o p l e
1.0,apple,app iphone ridiculous personal planner next days,"['app', 'iphone', 'ridiculous', 'personal', 'planner', 'next', 'day']",a p p   i p h o n e   r i d i c u l o u s   p e r s o n a l   p l a n n e r   n e x t   d a y s
-1.0,apple,found app kyping iphones geolocation amp releasing background need patch,"['found', 'app', 'kyping', 'iphones', 'geolocation', 'amp', 'releasing', 'background', 'need', 'patch']",f o u n d   a p p   k y p i n g   i p h o n e s   g e o l o c a t i o n   a m p   r e l e a s i n g   b a c k g r o u n d   n e e d   p a t c h
1.0,apple,app iphone live rsvp events phone amp check sundayswaggereventbritecom,"['app', 'iphone', 'live', 'rsvp', 'event', 'phone', 'amp', 'check', 'sundayswaggereventbritecom']",a p p   i p h o n e   l i v e   r s v p   e v e n t s   p h o n e   a m p   c h e c k   s u n d a y s w a g g e r e v e n t b r i t e c o m
-1.0,apple,iphone app screen missing,"['iphone', 'app', 'screen', 'missing']",i p h o n e   a p p   s c r e e n   m i s s i n g
-1.0,apple,course apple built temp store texas understand concept corralling cattle,"['course', 'apple', 'built', 'temp', 'store', 'texas', 'understand', 'concept', 'corralling', 'cattle']",c o u r s e   a p p l e   b u i l t   t e m p   s t o r e   t e x a s   u n d e r s t a n d   c o n c e p t   c o r r a l l i n g   c a t t l e
1.0,apple,love apple didnt let something like retail store near keep away opening popup store,"['love', 'apple', 'didnt', 'let', 'something', 'like', 'retail', 'store', 'near', 'keep', 'away', 'opening', 'popup', 'store']",l o v e   a p p l e   d i d n t   l e t   s o m e t h i n g   l i k e   r e t a i l   s t o r e   n e a r   k e e p   a w a y   o p e n i n g   p o p u p   s t o r e
1.0,apple,surprise apple opened popup store nerds town get new,"['surprise', 'apple', 'opened', 'popup', 'store', 'nerd', 'town', 'get', 'new']",s u r p r i s e   a p p l e   o p e n e d   p o p u p   s t o r e   n e r d s   t o w n   g e t   n e w
1.0,apple,surprise apple opened popup store nerds town get new ipads,"['surprise', 'apple', 'opened', 'popup', 'store', 'nerd', 'town', 'get', 'new', 'ipads']",s u r p r i s e   a p p l e   o p e n e d   p o p u p   s t o r e   n e r d s   t o w n   g e t   n e w   i p a d s
1.0,apple,surprise apple opened popup store nerds town get new ipads,"['surprise', 'apple', 'opened', 'popup', 'store', 'nerd', 'town', 'get', 'new', 'ipads']",s u r p r i s e   a p p l e   o p e n e d   p o p u p   s t o r e   n e r d s   t o w n   g e t   n e w   i p a d s
1.0,apple,ui apple great example retail store layed future registers checkout line,"['ui', 'apple', 'great', 'example', 'retail', 'store', 'layed', 'future', 'register', 'checkout', 'line']",u i   a p p l e   g r e a t   e x a m p l e   r e t a i l   s t o r e   l a y e d   f u t u r e   r e g i s t e r s   c h e c k o u t   l i n e
1.0,apple,ui apple opening temporary store downtown ipad launch,"['ui', 'apple', 'opening', 'temporary', 'store', 'downtown', 'ipad', 'launch']",u i   a p p l e   o p e n i n g   t e m p o r a r y   s t o r e   d o w n t o w n   i p a d   l a u n c h
